outlier_score,prediciton,label
-1.6053961004302288,音乐,诗歌
-1.84422116915681,翻译,聊天
-1.6700631455412913,音乐,诗歌
-1.1335178144047566,时间,聊天
-1.4286109840127101,视频,聊天
-1.3530092788984076,食谱,聊天
-1.1171101162493533,时间,天气
-1.1072148778566275,食谱,聊天
-0.9688526031255282,短信,聊天
-1.6478760896680043,视频,聊天
-0.9736831404028446,节目,电视频道
-1.6252779084137248,视频,聊天
-1.4340830194927434,视频,诗歌
-1.6686991438277619,食谱,聊天
-1.075197656940363,时间,聊天
-0.9924589153574095,音乐,诗歌
-1.9028252235097605,食谱,健康
-1.3404141552820357,火车,飞机
-1.856991259667307,食谱,聊天
-1.089419273101539,视频,聊天
-1.5544487871273382,app,聊天
-1.8900807327245481,视频,健康
-1.277878540202574,电台,健康
-0.983865487141822,新闻,电视频道
-1.1074223700814019,时间,聊天
-1.5588252680092165,电台,诗歌
-0.9967805363007411,音乐,诗歌
-1.0263376721015454,公交,飞机
-1.354413369484264,app,聊天
-1.117934835410605,时间,聊天
-0.9789122776335013,音乐,诗歌
-1.0289605102664188,火车,聊天
-0.9785716371183886,音乐,诗歌
-1.0586656338098825,时间,天气
-1.280157064320712,火车,飞机
-1.0000058520070234,视频,电影
-1.2928383866313133,火车,飞机
-1.4363275559611013,日程,聊天
-1.0166129431351423,视频,聊天
-1.6121195383979097,视频,聊天
-1.2632722929044784,视频,聊天
-1.0241726859409337,比赛,聊天
-0.9708629472194866,地图,聊天
-1.3055193214116283,火车,飞机
-1.8366406928304593,视频,聊天
-1.029021506193258,视频,聊天
-1.176951416237825,app,健康
-1.634915463390196,地图,聊天
-1.0579817232425772,时间,天气
-1.298338026172607,食谱,健康
-1.29305473309062,火车,飞机
-1.9165497931913762,食谱,健康
-1.062823074624539,时间,天气
-1.0637004246184572,视频,聊天
-1.909537356978534,地图,聊天
-1.4355246631234049,app,聊天
-1.0417901108025778,音乐,诗歌
-1.8228918622295562,视频,聊天
-1.5536442186793982,视频,诗歌
-1.633275089487881,视频,聊天
-1.8047581667077381,视频,诗歌
-1.5930170853292736,视频,电视频道
-1.7480374609460678,食谱,聊天
-0.9823051753348342,视频,聊天
-1.8263364864446339,食谱,健康
-0.9787452999878526,食谱,聊天
-1.4189076129657576,火车,飞机
-1.935249778415555,视频,聊天
-1.5920806621897088,音乐,诗歌
-1.2377217638133233,视频,健康
-1.115443758342188,时间,天气
-1.0696773035132003,公交,飞机
-1.6126155034847915,视频,聊天
-1.375040616733204,火车,飞机
-2.2681712730758665,食谱,聊天
-0.9732347473088687,视频,聊天
-1.3206663433547223,公交,聊天
-1.03091008811677,音乐,诗歌
-1.033133035287729,视频,聊天
-1.633956326599328,视频,聊天
-1.0979337048877114,视频,聊天
-1.0531340542760133,食谱,健康
-1.110519064513662,时间,天气
-1.4416513447540265,视频,聊天
-1.0911207303226758,视频,聊天
-1.5526484384697494,app,电视频道
-2.109639764355311,食谱,健康
-1.4309603445189083,火车,飞机
-1.3875824245512567,节目,电视频道
-1.662895370417391,电话,聊天
-0.958511806600073,节目,电影
-1.6305995692832311,视频,聊天
-0.9837259030938224,节目,电视频道
-0.9818117289936474,食谱,聊天
-1.8186232919472058,视频,聊天
-0.9735555268847114,音乐,诗歌
-1.5346590837712826,地图,聊天
-1.864648536265167,视频,飞机
-1.0903139872981302,时间,聊天
-0.9697385604657672,食谱,聊天
-1.7035493080072885,短信,联络
-1.366579297220969,谜语,聊天
-0.9670758194266048,食谱,聊天
-1.3983002815419687,食谱,健康
-1.122643437942961,电话,联络
-1.715579865823156,视频,聊天
-1.4157239836816369,视频,诗歌
-1.7346219377766385,视频,诗歌
-1.376890114321608,时间,聊天
-1.2938052642644873,app,电视频道
-1.291869491847989,短信,联络
-0.9619427622798937,食谱,聊天
-1.709649573307539,地图,聊天
-2.2668645959210503,食谱,聊天
-0.9773564387604392,音乐,诗歌
-0.9630299853953757,节目,电视频道
-2.0004184419967297,食谱,健康
-1.533581052953417,音乐,聊天
-1.9711945221655305,地图,聊天
-1.5284898033123144,节目,电视频道
-1.0039708598927632,节目,电视频道
-1.0240939913377956,视频,电影
-1.068808884920784,时间,天气
-1.522552319208754,app,聊天
-1.7291269914452108,视频,聊天
-1.711871957836442,视频,聊天
-2.026403574125013,食谱,聊天
-1.0003367685034725,音乐,诗歌
-1.5580902601288613,火车,飞机
-0.9896576897472361,地图,聊天
-0.990473083259735,视频,聊天
-1.5577950047328042,食谱,健康
-1.2190082040662982,视频,聊天
-1.0163483892446774,音乐,诗歌
-1.032404472973227,食谱,聊天
-1.4355225261748703,地图,聊天
-1.3028710518542497,app,聊天
-1.2395228216378333,火车,飞机
-0.9830465119693628,视频,电影
-0.9749772623038531,节目,电视频道
-1.1646032421294845,食谱,聊天
-1.1046071012256575,地图,聊天
-1.062378502404895,时间,天气
-1.1160368443291802,时间,天气
-1.5918092904217365,视频,聊天
-1.7565644901748585,地图,聊天
-1.1869554035981622,视频,聊天
-0.9753939715807602,视频,电影
-1.2743665501273242,短信,联络
-0.9625138613551553,视频,聊天
-1.910254513126268,视频,聊天
-1.284728580585425,火车,飞机
-1.307752374427203,火车,飞机
-1.002483249356771,视频,电影
-1.5060577123086438,app,聊天
-1.080642796030664,时间,天气
-1.0952157681122938,时间,天气
