test_acc,test_auc,test_loss
0.26725403817914833,0.5203767380374321,"tensor(3.6023, device='cuda:0')"
0.6490455212922174,0.6897678710712205,"tensor(2.6638, device='cuda:0')"
0.788546255506608,0.7883997788202036,"tensor(2.4193, device='cuda:0')"
0.8854625550660793,0.8061728937567976,"tensor(2.3240, device='cuda:0')"
0.920704845814978,0.8321487031320378,"tensor(2.2983, device='cuda:0')"
0.9251101321585903,0.8452821690267724,"tensor(2.2935, device='cuda:0')"
0.9309838472834068,0.8414609584701974,"tensor(2.2788, device='cuda:0')"
0.9353891336270191,0.8462937736422526,"tensor(2.2707, device='cuda:0')"
0.9353891336270191,0.8555245513235998,"tensor(2.2636, device='cuda:0')"
0.9397944199706314,0.8623302243656644,"tensor(2.2472, device='cuda:0')"
0.9383259911894273,0.8483737425891951,"tensor(2.2534, device='cuda:0')"
0.9368575624082232,0.8612691838685225,"tensor(2.2519, device='cuda:0')"
0.9368575624082232,0.8421466524584281,"tensor(2.2524, device='cuda:0')"
0.9427312775330396,0.8537183106843758,"tensor(2.2503, device='cuda:0')"
0.9383259911894273,0.8576155060220227,"tensor(2.2476, device='cuda:0')"
0.9383259911894273,0.8520384061871752,"tensor(2.2451, device='cuda:0')"
0.9397944199706314,0.8518379162226593,"tensor(2.2682, device='cuda:0')"
0.9383259911894273,0.8606375031584035,"tensor(2.2485, device='cuda:0')"
0.9412628487518355,0.8635386570285006,"tensor(2.2470, device='cuda:0')"
0.9383259911894273,0.8572969192290931,"tensor(2.2529, device='cuda:0')"
0.9397944199706314,0.8646848370996151,"tensor(2.2417, device='cuda:0')"
0.9383259911894273,0.8484149391572464,"tensor(2.2450, device='cuda:0')"
0.9397944199706314,0.8561544010751388,"tensor(2.2464, device='cuda:0')"
0.9412628487518355,0.8529502235600426,"tensor(2.2373, device='cuda:0')"
0.9397944199706314,0.8557415199153364,"tensor(2.2351, device='cuda:0')"
0.9383259911894273,0.8602374387086615,"tensor(2.2475, device='cuda:0')"
0.9412628487518355,0.8703589777392056,"tensor(2.2353, device='cuda:0')"
0.9397944199706314,0.8552315979507912,"tensor(2.2228, device='cuda:0')"
0.9383259911894273,0.8379354477243016,"tensor(2.2289, device='cuda:0')"
0.9441997063142438,0.8731273871122489,"tensor(2.2346, device='cuda:0')"
0.9412628487518355,0.8665936114193226,"tensor(2.2343, device='cuda:0')"
0.9397944199706314,0.8546804794181946,"tensor(2.2178, device='cuda:0')"
