Intent,Sentence,Outlier
weather,is agnew united states has chilly weather,False
movie,what films are at kerasotes theatres,False
movie,when is harassed being played at plitt theatres ?,False
weather,what s the weather forecast for my current position ?,False
weather,what s the weather forecast for here in august ?,False
movie,what movie house is playing the animated movies nearest ?,False
movie,find careless love,False
movie,what films are showing at national amusements,False
weather,will it snow in haigler bosnia and herzegovina,False
movie,please check the movie schedule,False
weather,will it feel nicer in finland or new mexico today,False
restaurant,book for my girlfriend and i for truffade at a gastropub in west virginia,False
music,play a 1950 album on iheart,False
weather,what is the johnson creek forecast for chilly weather,False
weather,weather within the same area as qatar at four,False
movie,what time is hold that blonde playing at the closest cinema ?,False
movie,show me the movie schedule for the cooper foundation,False
movie,what is the movie schedule at the fox theatres,False
movie,find lost in space,False
music,play a record from the year 1979,False
restaurant,need a jewish in maine to book a restaurant,False
restaurant,book james d conrey house for madeleine keisha and clara alvarez far from your colleagues college,False
movie,what are the movies movie times nearby,False
music,play the music track of 1998,False
music,play the album a kiss before you go by bt,False
weather,can you tell me the weather forecast for three o clock in de,False
music,play the best songs of 2016,False
music,play some techno,False
weather,check the weather forecast in seven weeks for emida,False
music,play sunshine reggae on youtube,False
weather,what is the freezing forecast for british virgin islands,False
movie,find the movie schedule for movies close by,False
music,play dhafer youssef top-twenty on netflix,False
weather,what is the weather forecast nearby sc,False
movie,when is the woman going to be scheduled at the closest movie house ?,False
movie,is you will meet a tall dark stranger at bow tie cinemas,False
music,play punk rock music,False
music,can you use pandora to play a soundtrack from 1999 by david sitek ?,False
weather,what do the cloud indicate in east aurora,False
movie,show me the movies at the closest cinema,False
weather,what is the weather going to be like this evening in arkansas,False
movie,find the movie schedules for cineplex odeon corporation,False
weather,is it going to get hotter in my current position,False
restaurant,book a pub for two on jan first 2037,False
movie,please tell me the movie schedules,False
weather,weather for oct 16 in mo,False
weather,forecast for laguna heights barbados,False
weather,what will the weather be for hooksett,False
weather,what will the weather be in grand coteau ut at six pm ?,False
movie,where is wild america showing at zero p m,False
restaurant,i need a highly rated oyster bar in ar in a month for jeanne collins amy and i,False
weather,what s the weather going to be like around lewis and clark trail sixteen hours from now ?,False
weather,how will the weather be in kentucky this week ?,False
restaurant,find a reservation for 3 people,False
movie,show movies at the nearest movie house,False
music,play music from 1950,False
weather,what s the weather in south hill,False
restaurant,i want to book the best steakhouse with south american cuisines in alaska,False
weather,is there snowstorm in la ?,False
movie,give me the movie schedule at santikos theatres,False
music,play some ray williams music from the nineties on spotify,False
restaurant,please reserve a table at the food truck in wheeler for december 4th 2019,False
weather,give me the weather forecast in zimbabwe,False
weather,will there be snowfall faraway from robinson forest,False
restaurant,book me a bar where i can get a bear claw in as,False
music,play music by odd nosdam,False
music,play music off itunes,False
music,play ep from quasimoto from the nineties,False
restaurant,i want a table for eight at gu,False
weather,what is the weather in mascotte,False
restaurant,book a reservation for 8 at a restaurant that serves chicken fried bacon in aruba,False
movie,what time is bhoot returns showing at douglas theatre company,False
movie,what are movie times for movies playing in the neighborhood ?,False
movie,find santikos theatres showing animated movies,False
restaurant,book a restaurant for three people in jenkins,False
restaurant,i need a reservation for next week with a party of six,False
restaurant,want to eat at diners of allentown pennsylvania on purim,False
movie,show the movie schedule,False
weather,what will the weather be like at 3 am in trinidad and tobago,False
movie,find the movie schedule for century theatres,False
movie,can you give me the movie times,False
movie,find the schedule for movies at plitt theatres,False
weather,what is the southern shops forecast for warm temps,False
music,plan an album by roni duani,False
movie,what are the movie schedule now,False
weather,i d like to see weather conditions for ennis,False
