outlier_score,prediciton,label
-1.9590932309119293,视频,聊天
-1.5642489171613945,时间,比赛
-2.388658610689639,食谱,翻译
-1.3560114239273682,视频,翻译
-1.7136033346892503,节目,聊天
-1.4876334001030922,视频,聊天
-1.1095083253124787,食谱,聊天
-1.8050124278700719,地图,翻译
-1.264820588167533,时间,天气
-1.706972923479891,健康,聊天
-1.5321389165185966,新闻,聊天
-2.048571273187008,健康,聊天
-0.9612281089961907,节目,电视频道
-1.8111849664093522,地图,聊天
-2.2422142055777106,食谱,聊天
-1.243855167986097,时间,聊天
-1.1316664681809314,节目,电台
-1.8519197110803636,地图,网站
-0.9729882825456875,健康,聊天
-1.2744711958053654,视频,聊天
-1.036140605452927,视频,聊天
-0.9839784576685566,诗歌,音乐
-0.9929295093372759,联络,电话
-0.9652072170507451,新闻,电视频道
-1.8167511419350426,节目,聊天
-1.3010283902767632,email,网站
-1.0178788033892432,节目,日程
-0.9717658197614764,健康,聊天
-1.2513242799251818,时间,聊天
-0.9586956027988801,火车,聊天
-1.2565543098213368,时间,天气
-2.0683908008792757,视频,翻译
-0.9668990581537347,视频,电影
-1.698040078592081,健康,聊天
-1.0744053538138323,视频,聊天
-2.413004435184479,食谱,聊天
-0.9854525855696682,联络,电话
-1.0353964707463057,视频,聊天
-1.0792109960168115,视频,聊天
-0.9645869179764786,地图,聊天
-1.0039689952697548,视频,app
-1.5847366205058997,联络,短信
-2.201735194109759,视频,聊天
-1.0276129063292998,视频,聊天
-1.7513653579265973,视频,聊天
-1.2525153665496818,时间,天气
-1.447479245550691,视频,抽奖
-1.115824917168538,节目,电台
-1.427348036792805,诗歌,音乐
-1.0605197491664193,诗歌,音乐
-1.2872702215022893,诗歌,音乐
-1.2259085683171478,时间,天气
-1.092044968759179,股票,抽奖
-0.9726302052527448,视频,app
-1.0121936597379002,视频,聊天
-2.594104498820175,诗歌,聊天
-0.966478597768402,视频,电话
-1.1761053397205894,健康,聊天
-2.0941715659637685,视频,聊天
-0.9707606364740817,食谱,翻译
-1.8902352177349084,视频,聊天
-0.9663121891065135,节目,电视频道
-1.8851458890413966,视频,app
-1.4569850906806074,节目,聊天
-0.9605343124351446,视频,聊天
-1.0407152513931834,食谱,聊天
-2.245487987562302,健康,聊天
-1.9130542840699227,诗歌,计算
-1.4674501162889781,节目,翻译
-2.1607317272293733,视频,网站
-1.3279382181553887,地图,比赛
-1.2633258963004503,时间,天气
-0.9609450541576983,视频,网站
-1.2177211331037505,视频,聊天
-0.9718341971975841,视频,网站
-0.9640715437399381,视频,app
-1.016866258736751,视频,聊天
-0.9601406308996048,视频,聊天
-1.0620605244697652,飞机,聊天
-1.3240233007230784,视频,聊天
-1.8201582767423592,视频,聊天
-1.8502873193361034,视频,谜语
-1.141433507485743,视频,聊天
-1.2626875690957806,时间,天气
-0.9736748958827018,诗歌,聊天
-1.0306382297344479,视频,聊天
-1.4439861000339627,视频,电视频道
-1.78487004486683,视频,电话
-1.0817393759928948,节目,电视频道
-2.597008304139031,食谱,聊天
-1.0977725618153777,节目,电影
-1.7509063965003542,健康,计算
-2.390139068910991,食谱,翻译
-1.7053333488207472,小说,聊天
-1.4180922994712852,节目,电视频道
-1.0593698892840209,新闻,网站
-1.3067323434579066,诗歌,音乐
-1.0520824338869565,食谱,聊天
-1.2635568741392014,视频,聊天
-1.198941991950433,视频,app
-1.8444594139071828,健康,聊天
-1.507608620797663,视频,app
-1.8795978143458139,诗歌,电话
-1.1955454819404994,时间,聊天
-0.9835881632050052,食谱,聊天
-2.5001039521186534,食谱,聊天
-0.965354421793738,食谱,聊天
-0.980326623837661,视频,app
-1.536827490796405,节目,日程
-1.9516800061246027,视频,聊天
-1.291133411946484,视频,抽奖
-2.472241612121185,视频,聊天
-1.0140234927668401,节目,电视频道
-0.9662470545816765,视频,网站
-1.8057169501456958,诗歌,音乐
-0.9854525855696682,联络,电话
-0.9595653465827724,食谱,聊天
-1.8033632049833426,视频,聊天
-1.5517833583106748,视频,聊天
-2.7638657307540906,食谱,翻译
-1.2347865979118562,视频,电话
-0.9591101128679751,节目,电视频道
-1.28322864801037,健康,聊天
-1.5792195703603622,视频,聊天
-1.0084373153776838,节目,电视频道
-0.9693840633911741,视频,app
-0.9742194254396326,节目,电视频道
-1.8928871836267984,节目,电台
-0.9708500090577102,视频,电影
-2.230800381355895,诗歌,谜语
-1.2955882987656018,时间,天气
-1.9872921568160222,视频,聊天
-1.806220264855065,视频,聊天
-1.9617291191894544,视频,聊天
-1.8272054072739476,食谱,聊天
-1.2275730263239129,地图,聊天
-1.908592232993422,诗歌,谜语
-1.5853707408809337,节目,抽奖
-0.9773627018867417,诗歌,音乐
-0.9983050034592094,联络,电话
-0.9529828806819692,视频,聊天
-1.3612850394624714,火车,计算
-1.1869378770448615,诗歌,音乐
-1.1614521048806075,视频,聊天
-1.662868626567017,新闻,短信
-1.0442014854840553,食谱,聊天
-1.7577705814329712,视频,聊天
-0.9924672489180637,联络,电话
-2.3662750344043504,食谱,聊天
-1.7659946545833012,地图,比赛
-0.9975320551101495,视频,电影
-0.9814899122946874,节目,电视频道
-1.5753982625865746,视频,比赛
-1.220387869916218,食谱,聊天
-1.4820664931946543,视频,聊天
-1.6508889539014988,视频,比赛
-1.2441582459489875,时间,天气
-1.3989283887839186,时间,天气
-1.8056995180922482,视频,比赛
-0.9950546470123249,联络,电话
-1.0627669279411576,视频,翻译
-1.1435453190315925,视频,聊天
-1.8228226838026582,股票,聊天
-0.9830820893221519,诗歌,翻译
-1.7509536254332896,视频,聊天
-1.4613973398634017,email,短信
-1.2862033313029404,新闻,短信
-0.9787902300861593,视频,电影
-0.9599333640148433,视频,聊天
-0.9723028972625603,视频,网站
-2.5402272806064676,诗歌,聊天
