Intent,Sentence,Outlier
诗歌,毛泽东 的 诗 哦,False
诗歌,若 相惜 不弃 下 一 句 是 什么,False
翻译,翻译 光大银行,False
食谱,孜然 排骨 怎么 做,False
天气,查 南京 天气,False
食谱,做 花生 拌 豆腐 需要 什么 材料 啊,False
电视频道,频道 管理,False
食谱,赵柏 田鸡 怎么 做 啊,False
诗歌,搜索 岳飞 的 诗 满江红,False
诗歌,你 背 首 唐诗 给 我 听听 啊,False
食谱,鱼香肉丝 的 做法 啊,False
食谱,肥肠 的 做法,False
食谱,酸辣 藕 丁 的 做法,False
电视频道,新闻 解码,False
诗歌,尽在不言中 下 一 句 是 什么,False
诗歌,朗诵 一 首 李白 的 诗词,False
食谱,面包 怎么 做,False
食谱,周黑 鸭 怎么 做,False
诗歌,来 一 首 李清照 的 词,False
诗歌,朗读 一 首 李白 的 诗 呗,False
食谱,做 可乐 鸡翅 需要 哪些 材料,False
食谱,福寿鱼 怎么 煮 比较 好吃,False
时间,端午节 是 哪一天,False
食谱,黄瓜 怎么 做,False
电话,请 打电话 给 人名,False
app,请 帮 我 打开 uc,False
火车,重庆 到 成都 的 火车票 多少 钱,False
天气,帮 我 看看 今天 的 天气,False
电台,帮 我 调频 92.8 桐庐 人民 广播电台 行不行,False
天气,今天 广州 的 天气 怎样,False
app,帮 我 打开 人人,False
诗歌,搜索 一下 白居易 的 诗,False
食谱,我 想 我 想 做 老鸭 汤 用 什么 材料,False
诗歌,造化 钟 神秀 的 下 一 句 是 什么,False
app,链家 地产 打开 QQ,False
食谱,不 懂 饭 的 做法,False
食谱,蒜 茄子 怎么 做,False
食谱,宫爆鸡丁 的 菜谱,False
计算,根号 三 的 倒数,False
诗歌,来首 纳兰性德 的 词,False
比赛,中超 赛事 预告 从 在 哪里 看 呢,False
app,打开 uc 二 哦,False
新闻,盘锦 新闻,False
食谱,姐 你 红烧肉 怎么 做 呀,False
诗歌,背 首 杜甫 的 诗 啊,False
食谱,刘林 面 怎么 做 啊,False
食谱,猪肉 丸子 汤 怎么 做 啊,False
天气,天气预报 广州,False
新闻,关注 一下 今天 的 欧洲杯 新闻,False
食谱,那好 那 你 告诉 我 西红柿 炒鸡蛋 怎么 去 做,False
火车,有没有 徐州 到 洛阳 的 火车票,False
食谱,讯 飞语 点 请 你 搜索 一下 番茄 炒蛋 怎么 做,False
电视频道,山东 台 高清,False
计算,9 的 2 次 方根 的 3 次方,False
翻译,小老虎 用 英语 怎么 讲,False
电视频道,CCTV 农业,False
email,给 我 看 邮件,False
食谱,小猪 哨 糖醋排骨 的 做法,False
诗歌,背 一 首 声声慢,False
食谱,红烧 带鱼 怎么 做 你,False
电话,拨打 幺 三七 零 九五 二零 八五八,False
