Intent,Sentence,Outlier
诗歌,毛泽东 的 诗 哦,False
聊天,有 房 有 车 吗 微笑,False
比赛,2013 年 亚洲 冠军联赛 和 广州 恒大 比赛 时间,False
诗歌,若 相惜 不弃 下 一 句 是 什么,False
翻译,苹果 翻译成 英语,False
翻译,翻译 光大银行,False
公交,无锡 到 阜阳 怎么 坐 汽车,False
翻译,今天 我 要 去 逛街 用 英语 说,False
聊天,干 啥 呢,False
聊天,能 告诉 我 徐 乐乐 的 信息 吗,False
聊天,这 有 什么 厉害 的,False
诗歌,搜索 岳飞 的 诗 满江红,False
聊天,摸 啥,False
股票,查询 下 北京 首创 的 股票,False
聊天,在 干吗 啊,False
聊天,你 知道 怎么 拍照 么,False
音乐,来 一 首 我们 的 歌谣,False
聊天,这 是 哪 年 的 事,False
诗歌,朗诵 一 首 李白 的 诗词,False
节目,现在 有 什么 好 的 电影 呢,False
节目,第 二十二 条 婚规 什么 时候 结束,False
网站,进入 中国移动 官方网站,False
飞机,查询 上海 到 丽江 飞机票 的 价格,False
日程,设置 明天 8 : 10 闹钟,False
诗歌,来 一 首 李清照 的 词,False
聊天,可以 帮 买 火车票 吗,False
飞机,查询 今天 上海 到 成都 的 航班,False
电影,最近 热门 的 电影,False
节目,回放 昨晚 的 焦点访谈,False
新闻,哦 听 新闻,False
飞机,查询 大大 后天 广州 到 武汉 的 航班,False
聊天,其实 我 不 跟 你 说话 么 办,False
聊天,你 觉得 我 嫁 的 出去 吗,False
聊天,推荐 几部 呗,False
电话,请 打电话 给 人名,False
聊天,谁 是 人名,False
聊天,它 在 哪里,False
app,请 帮 我 打开 uc,False
节目,江西 卫视 三 天 之后 放 一站到底 么,False
聊天,怎么 安慰 啊,False
聊天,这么 傲娇,False
聊天,你 咋 没上 幼儿园,False
天气,帮 我 看看 今天 的 天气,False
电台,帮 我 调频 92.8 桐庐 人民 广播电台 行不行,False
飞机,明天 去 徐州 的 航班,False
音乐,来首 出师表,False
天气,今天 广州 的 天气 怎样,False
app,帮 我 打开 人人,False
股票,科大讯飞 的 股价 如何,False
聊天,顾超 是 谁,False
聊天,你 叫 什么 名字,False
电话,打 给 孩子 的 爸,False
股票,南京 熊猫 股票,False
诗歌,读 首 唐诗 来 听听,False
聊天,笨笨 你 是 没有 年龄 么,False
股票,查询 股票 00230,False
翻译,你 吃 过 早饭 了 吗 用 英文 怎么 讲,False
聊天,你 这 都 跟 哪 啊 快 雪 的,False
诗歌,造化 钟 神秀 的 下 一 句 是 什么,False
新闻,我 想 听 重庆 新闻,False
股票,罗顿 发展 的 股票,False
app,链家 地产 打开 QQ,False
聊天,怎么 上 分,False
聊天,你 爱玩 什么 英雄,False
公交,北京 到 成都 的 汽车 时刻表,False
聊天,晚餐 吃 点 什么 呢,False
飞机,后天 去 大连 的 航班,False
聊天,你 肥 吗,False
地图,查查 科大讯飞 在 哪里,False
地图,龙口 西路 在 哪里,False
地图,新 东站 怎么 走,False
诗歌,来首 纳兰性德 的 词,False
比赛,中超 赛事 预告 从 在 哪里 看 呢,False
天气,今日 天气 怎么样 啊,False
网站,那 你 帮 我 打开 百度,False
网站,打开 猫扑,False
飞机,查询 后天 广州 到 上海 的 航班,False
节目,世界 军事 中央台 世界 军事,False
app,打开 uc 二 哦,False
地图,我 想到 科大讯飞 走 高速 路线,False
聊天,谁 是 猪,False
聊天,你 什么 梦想,False
聊天,订机票 今天 吃 什么,False
诗歌,背 首 杜甫 的 诗 啊,False
聊天,刘挺 是 谁,False
地图,嗯 我 想 知道 曲阜 在 什么 地方,False
谜语,你 说 谜语 给 我 猜,False
节目,读书 频道 上 个 星期五 有 播放 新闻联播 吗,False
天气,天气预报 广州,False
聊天,啊 我 要 订票 你 怎么 吟诗 了,False
