Intent,Sentence,Outlier
翻译,苹果 翻译成 英语,False
翻译,翻译 光大银行,False
翻译,今天 我 要 去 逛街 用 英语 说,False
天气,查 南京 天气,False
股票,查询 下 北京 首创 的 股票,False
电话,打电话 人名,False
网站,进入 中国移动 官方网站,False
天气,郑州 天气,False
翻译,你 曾 爱 过 我 吗 用 英语 怎么 说,False
新闻,哦 听 新闻,False
天气,帮 我 看看 今天 的 天气,False
天气,今天 广州 的 天气 怎样,False
股票,南京 熊猫 股票,False
股票,查询 股票 00230,False
翻译,你 吃 过 早饭 了 吗 用 英文 怎么 讲,False
新闻,我 想 听 重庆 新闻,False
股票,罗顿 发展 的 股票,False
翻译,今天 的 天气 真是 好 用 英语 怎么 说,False
网站,易车网 看看,False
股票,三安 光电 股票 号,False
网站,那 你 帮 我 打开 百度,False
新闻,盘锦 新闻,False
天气,天气预报 广州,False
新闻,关注 一下 今天 的 欧洲杯 新闻,False
新闻,等 请 播报 新闻,False
电话,呼叫 浦蒲,False
翻译,小老虎 用 英语 怎么 讲,False
股票,查找 科大讯飞 股票 的 股价,False
网站,帮 我 上下 新浪网,False
电话,拨打 幺 三七 零 九五 二零 八五八,False
日程,明天 叫 我 8 : 10 起床,False
网站,打开 百度 哇,False
翻译,笑话 用 英语 怎么 说,False
电话,呼叫 王希,False
天气,明天 深圳 天气 怎么样,False
电话,给 人名 打电话,False
天气,银川 天气 怎么样,False
电话,打电话 给 hello   word,False
翻译,翻译 背 首 诗,False
网站,打开 网页 猫扑,False
翻译,我 记住 了 用 英文 怎么 讲,False
天气,长春 现在 是 什么 天气,False
新闻,我 想 知道 今天 的 娱乐 新闻,False
天气,明天 天气 怎样 啊,False
新闻,该 我 读 新闻,False
天气,我 想 知道 北京 的 天气,False
天气,郑州 的 天气 怎么样,False
翻译,挑逗 你 真 好玩儿 英语 怎么 说,False
翻译,出口 在 哪里 英文 怎么 说,False
新闻,钓鱼岛 新闻,False
天气,龙岩市 天气,False
电话,打电话 给 六六 三,False
股票,查询 大北农 的 股票,False
翻译,虾 的 英文 怎么 说,False
网站,进 银河网,False
翻译,翻译 秋天,False
股票,广汇 股份 的 收盘价格,False
天气,现在 温度 几度,False
天气,我 想 看 一下 温州 的 天气,False
电话,请拨 幺 幺 零,False
网站,打开 腾讯 拍拍网,False
网站,打开 聚 划算 网站,False
网站,打开 浦发银行,False
新闻,k 新闻 想 听 新闻,False
新闻,泰州 新闻,False
网站,帮 我 链接 到 新浪网,False
天气,明天 桂林 天气 如何,False
日程,下午 的 日程 是 什么,False
股票,查询 一下 南方 航空 的 股票,False
股票,中国建设银行 的 行情,False
天气,海南 天气 怎么样,False
电话,拨打 幺 三九 幺 三八 九九 三 九九,False
翻译,床 英文 怎么 说,False
股票,查寻 三星 股价,False
电话,给 曹 广义 打电话,False
日程,设置 闹钟,False
翻译,早上好 英语 怎么 讲,False
新闻,现在 有 什么 热点新闻,False
网站,请 打开 人人 网,False
新闻,来 一下 最新 的 新闻,False
股票,查寻 轻舞风 股票,False
天气,中山 天气 怎么样,False
翻译,你 还 没有 结婚 用 英语 怎么 讲,False
翻译,翻译 今天 出去玩,False
天气,你 知道 今天 南京 的 天气 吗,False
网站,开 网页,False
电话,幺 八九 幺 八九 二 二五 五五,False
股票,查询 标准 股份 的 股票,False
日程,十五 分钟 之后 叫 我,False
股票,今天 上证指数 是 几 点,False
股票,我 想 了解 地产 板块 股票 现在 怎么样,False
电话,给 爸爸 打电话,False
新闻,是否 还有 其他 关于 钓鱼岛 的 新闻,False
日程,说 到 上海 了 提醒 我 一下,False
网站,访问 京东 商城 的 网页,False
新闻,啊 社会 新闻,False
网站,打开 新浪网 我 肏,False
新闻,今日 头条新闻,False
天气,今天 东莞 天气 如何,False
翻译,翻译 慷慨激昂,False
电话,打电话 给 王宇婕,False
股票,零零 二三 零六 的 股票,False
股票,代码 000800 的 股票 涨幅 是 多少,False
新闻,秦皇岛 今天 有 什么 新闻,False
翻译,我 今天 去 北京 了 英语 怎么 说,False
股票,所以 查学 西宁 特钢 的 股票,False
股票,陈娴 TCL 股票 是 涨 还是 跌 了,False
天气,那会 不会 下雨,False
日程,十 分钟 后 叫 我 起床,False
网站,我 要 上网 打开 百度,False
日程,清空 提醒,False
电话,呼叫 徐媛,False
电话,听 电话,False
新闻,给 我 点 新闻,False
翻译,你 今天 去 了 哪里 用 英文 怎么 讲,False
翻译,你 好 丑 用 英文 怎么 说,False
网站,你 帮 我 打开 网站,False
股票,煤炭 板块 股票 查询,False
天气,常州 天气预报,False
电话,打电话 给 阿敏,False
翻译,一 加 一 用 英语 怎么 说,False
翻译,翻译 李淼,False
天气,今天天气 冷 吗,False
电话,打电话 给 卢静,False
股票,查询 三一 重工 股票,False
翻译,香蕉 的 英语 怎么 说,False
股票,腾讯 股票 昨日 收盘价,False
天气,郑州 天气 怎么样,False
新闻,帮 我 搜索 一下 今天 的 新闻,False
翻译,大家 今天 心情 如何 用 英语 怎么 说,False
天气,我 想 知道 深圳 明天 的 天气,False
股票,伊利 股份 股票,False
新闻,我 也 听 新闻,False
翻译,去 你 的 用 英文 怎么 说,False
股票,中信证券 股票,False
天气,沈阳 今天天气,False
天气,明天 泸州 天气 如何,False
日程,设置 提醒,False
新闻,今天 东莞 新闻,False
股票,查下 李宁 公司 的 股票,False
电话,给 王涛 打电话,False
新闻,告诉 我 今天 的 新闻 内容,False
新闻,答复 我 要 听 新闻,False
电话,拨打 幺 三九 七七 零九 八七 七六,False
新闻,我 要 听 新闻,False
网站,打开 丰顺县 政府网,False
网站,中国 新闻网 网站,False
新闻,艳照 门 事件,False
天气,长沙 明天 是 什么 天气,False
翻译,出租车 的 英文 怎么 说,False
翻译,我 不 在家 英语 怎么 说,False
日程,提醒 我 明天 约 老同学,False
翻译,我们 做爱 吧 用 英文 怎么 说,False
网站,打开 索尼 官方网站,False
网站,打开 三星 首页,False
新闻,但 我 想 点 新闻,False
股票,查询 一汽 轿车 股票,False
股票,章源 钨业,False
股票,搜索 蒙牛 的 股市行情,False
电话,打电话 电话号码,False
天气,洛阳 的 天气,False
翻译,我 不 明白 用 英文 怎么 讲,False
股票,人福 医药 股票,False
翻译,阴精 英语 怎么 说,False
新闻,讲 点 新闻,False
天气,临沂 的 天气,False
电话,打电话 给 丹丹 移动,False
网站,四川 新闻网,False
日程,本 周 还有 什么 待办 事项,False
网站,看 网易 财经,False
天气,查看 汕头 天气,False
新闻,最近 有 什么 热门 新闻 了,False
网站,上 美空 网,False
翻译,很 高兴 见到 你 英文 怎么 讲,False
股票,五八 零零 二二 的 市盈率 是 多少,False
网站,索尼 爱立信 官网,False
天气,宁波 天气情况,False
电话,给 人名 打电话,False
新闻,加 听 新闻,False
股票,中国银行 股票 怎么样,False
网站,开启 雅虎,False
翻译,我 去 飞机场 英语 怎么 说,False
股票,天利,False
翻译,翻译 爸爸,False
日程,提醒 我 明天 约 了 老同学 的 小聚 一下,False
电话,打电话 人名,False
翻译,桔子 英文 怎么 说,False
股票,看 一下 中式 传媒 股票 的 涨跌幅,False
网站,现在 打开 你 的 官网,False
日程,给 我 定 一个 8 : 10 的 闹钟,False
天气,明天 的 天气 是 是 什么,False
翻译,帮 我 翻译 一下 番茄,False
股票,南钢 股票 今日 开盘,False
翻译,人名 英语 怎么 说,False
天气,天气 桂林,False
网站,赶集网,False
电话,给 人名 打电话,False
新闻,报 点 新闻 给 我 听,False
天气,查 一下 明天 福州 的 天气,False
网站,打开 河南 英 东 网站,False
天气,明天 天气 如何,False
网站,打开 百度 啊,False
天气,呼和浩特 的 天气 怎么样 呢,False
天气,你好 请问 一下 明天 广州 的 天气 如何,False
电话,幺 三零二 三八 四七 三四 二,False
电话,打 给 亲爱 的 楼,False
天气,天气 好不好 啊,False
股票,查询 东吴 证券 的 股票,False
新闻,今天 杭州 有 什么 新闻,False
网站,摩尔 勇士,False
天气,深圳 今天天气 怎么样,False
天气,合肥 明天 的 湿度 如何,False
股票,我 要 查 股票,False
电话,打 给 人名,False
新闻,我 想 听听 今天 的 新闻,False
股票,查寻 天龙 集团 的 股票,False
网站,打开 三 g 门户网站,False
电话,拨打 电话 给 人名,False
新闻,我 想 今天 新闻 最近 有 什么 新 的 新闻,False
新闻,今天 的 新闻 有 什么,False
电话,呼叫 电话号码,False
天气,帮 我 查下 南京 明天 的 天气,False
电话,打电话 给 奥巴马,False
日程,查看 最近 的 日程,False
电话,打电话 给 胖头,False
股票,查寻 科大讯飞 的 股,False
网站,上 山居 网,False
网站,打开 人名 的 网站,False
天气,扬州 天气,False
股票,搜索 中国移动 股票,False
股票,杰瑞 股份 股价,False
天气,罗山 天气,False
新闻,请 给 我 讲 一下 今天 的 新闻 吧,False
股票,查 一下 零零 零八 六八 的 股票行情,False
日程,明早 8 : 10 叫醒 我,False
股票,永辉 超市 股份 的 价格,False
电话,打电话 到 飞云,False
电话,拨打 电话 办公 吴菲,False
天气,查看 一下 天气预报,False
新闻,播放 最近 的 新闻,False
股票,伊利 股份,False
翻译,中国 制 用 英文 怎么 说,False
新闻,有 什么 重大新闻,False
股票,我 想 看 一下 科大讯飞 的 股票,False
翻译,我 正在 睡觉 用 英语 怎么 说,False
电话,打电话 给 陈雷,False
电话,打电话 给 三路 店,False
新闻,看 今天 的 新闻,False
新闻,最新 的 新闻 播报 一下,False
电话,呼叫 人名,False
电话,拨打 人名 电话,False
新闻,播 新闻 湖南 新闻,False
天气,台中 的 天气,False
股票,讯 飞 科技 股票价格,False
网站,请 打开 八 六八 四,False
天气,青阳 天气 如何,False
天气,天气 南京,False
电话,给 人名 打电话,False
股票,蓝鹰 股票,False
股票,江苏 阳光 的 股票 怎么样 了,False
日程,取消 明天 的 闹钟,False
网站,给 我 打开 百度网,False
电话,打打 给 胡磊,False
股票,腾讯 公司 的 股票,False
电话,给 金华 打电话,False
翻译,晚安 的 英语,False
日程,帮 我 调 明天 8 : 10 的 闹钟,False
新闻,今天 的 新闻 欲,False
网站,登录 聚友 网,False
天气,搜索 天气,False
翻译,我 要 和 妹妹 睡觉 英语 怎么 说,False
电话,帮 我 打电话 给 港 铁轮,False
新闻,现在 看看 有 最新 的 新闻 吗,False
