Intent,Sentence,Outlier
比赛,2013 年 亚洲 冠军联赛 和 广州 恒大 比赛 时间,False
诗歌,若 相惜 不弃 下 一 句 是 什么,False
食谱,做 花生 拌 豆腐 需要 什么 材料 啊,False
股票,泰山 石油 股票,False
节目,下 周 有 什么 好看 的 恐怖电影,False
诗歌,搜索 岳飞 的 诗 满江红,False
股票,查询 下 北京 首创 的 股票,False
电台,请 帮 我 调频 100.8 梧州 人民 广播电台,False
网站,打开 江苏 移动 网上 营业厅 网页,False
诗歌,你 背 首 唐诗 给 我 听听 啊,False
健康,甲亢 怎么 治疗,False
食谱,鱼香肉丝 的 做法 啊,False
音乐,来 一 首 我们 的 歌谣,False
食谱,肥肠 的 做法,False
健康,黄疸,False
食谱,酸辣 藕 丁 的 做法,False
健康,暴发性 紫癜,False
电视频道,新闻 解码,False
诗歌,尽在不言中 下 一 句 是 什么,False
诗歌,朗诵 一 首 李白 的 诗词,False
节目,现在 有 什么 好 的 电影 呢,False
节目,第 二十二 条 婚规 什么 时候 结束,False
食谱,周黑 鸭 怎么 做,False
食谱,怎么 做 酸菜鱼,False
食谱,做 可乐 鸡翅 需要 哪些 材料,False
节目,动漫 频道 三 天 之后 有 开始 播 吸血鬼 日记 第 四 季 呢,False
食谱,福寿鱼 怎么 煮 比较 好吃,False
股票,中海油 服 股票,False
食谱,红烧肉 的 做法 啊,False
食谱,黄瓜 怎么 做,False
电影,最近 热门 的 电影,False
新闻,哦 听 新闻,False
食谱,豆沙包,False
食谱,银耳 莲子粥 怎么 做,False
电台,帮 我 调频 92.8 桐庐 人民 广播电台 行不行,False
音乐,我 要 听 张雨生 的 歌,False
健康,得 了 关节炎 怎么办,False
股票,科大讯飞 的 股价 如何,False
食谱,拔丝 芋头 怎么 做,False
电话,打 给 孩子 的 爸,False
股票,南京 熊猫 股票,False
诗歌,读 首 唐诗 来 听听,False
诗歌,搜索 一下 白居易 的 诗,False
股票,查询 股票 00230,False
电视频道,我 要 看 云南 二 台,False
股票,罗顿 发展 的 股票,False
食谱,不 懂 饭 的 做法,False
公交,北京 到 成都 的 汽车 时刻表,False
健康,得 了 皮肤病 怎么办,False
食谱,宫爆鸡丁 的 菜谱,False
网站,易车网 看看,False
股票,三安 光电 股票 号,False
诗歌,来首 纳兰性德 的 词,False
比赛,中超 赛事 预告 从 在 哪里 看 呢,False
健康,乳腺癌,False
节目,金鹰 卡通 今天 晚上 放 什么 节目,False
新闻,盘锦 新闻,False
食谱,姐 你 红烧肉 怎么 做 呀,False
诗歌,背 首 杜甫 的 诗 啊,False
食谱,刘林 面 怎么 做 啊,False
