Intent,Sentence,Outlier
诗歌,毛泽东 的 诗 哦,False
聊天,有 房 有 车 吗 微笑,False
聊天,哪天 的,False
公交,无锡 到 阜阳 怎么 坐 汽车,False
聊天,你 现在 在 做 什么 啊,False
天气,查 南京 天气,False
聊天,干 啥 呢,False
聊天,能 告诉 我 徐 乐乐 的 信息 吗,False
聊天,这 有 什么 厉害 的,False
聊天,你 咋 不 上天 呢,False
诗歌,搜索 岳飞 的 诗 满江红,False
聊天,摸 啥,False
聊天,今天 什么 天气,False
网站,打开 江苏 移动 网上 营业厅 网页,False
诗歌,你 背 首 唐诗 给 我 听听 啊,False
聊天,在 干吗 啊,False
聊天,你 知道 怎么 拍照 么,False
视频,搜 幕府 风云,False
视频,憨豆 特工,False
聊天,这 是 哪 年 的 事,False
诗歌,尽在不言中 下 一 句 是 什么,False
诗歌,朗诵 一 首 李白 的 诗词,False
视频,我 要 看 西游记 啊,False
网站,进入 中国移动 官方网站,False
聊天,会 lol 吗,False
聊天,你 生日 是 什么 时候,False
诗歌,朗读 一 首 李白 的 诗 呗,False
视频,三 女 休 夫,False
聊天,推荐 几部 呗,False
聊天,谁 是 人名,False
聊天,它 在 哪里,False
短信,发短信 人名,False
聊天,怎么 安慰 啊,False
聊天,你 咋 没上 幼儿园,False
视频,预约 还珠格格 第 八 集,False
视频,张艺谋 的 甄嬛传,False
天气,今天 广州 的 天气 怎样,False
聊天,顾超 是 谁,False
诗歌,读 首 唐诗 来 听听,False
视频,惊情 四百 年,False
聊天,你 这 都 跟 哪 啊 快 雪 的,False
诗歌,造化 钟 神秀 的 下 一 句 是 什么,False
聊天,怎么 上 分,False
公交,北京 到 成都 的 汽车 时刻表,False
聊天,晚餐 吃 点 什么 呢,False
聊天,你 肥 吗,False
诗歌,来首 纳兰性德 的 词,False
网站,那 你 帮 我 打开 百度,False
网站,打开 猫扑,False
聊天,谁 是 猪,False
聊天,你 什么 梦想,False
诗歌,背 首 杜甫 的 诗 啊,False
聊天,刘挺 是 谁,False
聊天,你 谁 什么,False
视频,大 耳朵 图图 二,False
聊天,啊 我 要 订票 你 怎么 吟诗 了,False
聊天,笨笨 你 爸 比 和 帮主 是 什么 关系,False
公交,南京 到 黄山 的 汽车,False
聊天,嗯 你 叫 啥 呀,False
网站,帮 我 上下 新浪网,False
聊天,你 是 说 我 有意思 吗,False
诗歌,背 一 首 声声慢,False
公交,去 深圳 怎么 坐车,False
聊天,不行 么,False
视频,青春 四十,False
聊天,什么 一 年 多 了,False
聊天,做 的 还是 不够 好,False
视频,整人专家 的 电影,False
公交,在 合肥 怎么 坐 去 南京 的 汽车,False
聊天,有 答案 了 吗,False
聊天,你 能 做 点 什么,False
视频,小破孩 动画片,False
聊天,你 的 性格 是 什么,False
公交,从 台州 到 金华 的 汽车,False
诗歌,朗读 岳飞 的 满江红,False
诗歌,天王 盖地 虎 的 下 一 句 是 什么,False
视频,80 年代 成龙 演 的 电影,False
视频,体育赛事 直播,False
视频,恶 熊出没,False
聊天,爱 她 该 怎么 做,False
聊天,那 草 为啥 会 绿,False
聊天,为啥 穷,False
诗歌,我 给 我 念 一 首 李白 的 诗 吧,False
视频,最近 好评 的 晚会,False
聊天,没 听 清 吗,False
视频,帮 我 看 一下 最近 哪些 电影 是 新 上映 的,False
天气,明天 深圳 天气 怎么样,False
聊天,这么 笨 啊 怪不得 叫 笨笨,False
聊天,什么 鬼 玩意,False
聊天,你 在 说 啥 啊,False
聊天,弄 啥 类,False
诗歌,阿妈 来 一 首 白居易 的 诗,False
聊天,怎么 走 爽 了 呢,False
聊天,你 是 穆斯林 吗,False
短信,给 栾 佳佳 发短信 说 回到 济南 了,False
诗歌,念首 唐诗 吧,False
聊天,你 怎么 就 知道 我 不会 呢,False
聊天,喝 哪种 酒,False
